

--- Timestep = 1 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
      Envelope	 5.191e-01	 5.601e-01	 6.063e-01	 4.041e-02
Sync_Susceptibility	 1.406e-01	 4.124e-01	 7.854e-01	 2.784e-01


--- Timestep = 17 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 6.249e-01	 1.492e+00	 2.141e+00	 6.648e-01
       Maxwell	 2.099e-02	 2.396e-02	 2.961e-02	 3.444e-03
    Maxwell_BC	 6.309e-03	 6.986e-03	 7.747e-03	 5.104e-04
   Diagnostics	 1.044e+00	 1.046e+00	 1.049e+00	 1.752e-03
Sync Particles	 1.169e-01	 1.424e-01	 1.656e-01	 1.850e-02
   Sync Fields	 7.713e-02	 1.043e-01	 1.466e-01	 2.582e-02
Sync Densities	 1.469e-01	 4.207e-01	 7.990e-01	 2.822e-01
      Envelope	 5.734e-01	 6.199e-01	 6.756e-01	 4.605e-02
Sync_Susceptibility	 1.524e-01	 4.666e-01	 8.926e-01	 3.180e-01


--- Timestep = 19 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 6.954e-01	 1.660e+00	 2.380e+00	 7.401e-01
       Maxwell	 2.303e-02	 2.645e-02	 3.211e-02	 3.437e-03
    Maxwell_BC	 6.979e-03	 7.721e-03	 8.527e-03	 5.504e-04
   Diagnostics	 1.178e+00	 1.180e+00	 1.183e+00	 2.034e-03
Sync Particles	 1.298e-01	 1.604e-01	 1.816e-01	 2.012e-02
   Sync Fields	 8.448e-02	 1.178e-01	 1.668e-01	 3.014e-02
Sync Densities	 1.637e-01	 4.676e-01	 8.880e-01	 3.139e-01
      Envelope	 6.304e-01	 6.819e-01	 7.401e-01	 5.079e-02
Sync_Susceptibility	 1.716e-01	 5.187e-01	 9.900e-01	 3.543e-01


--- Timestep = 19 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 6.954e-01	 1.660e+00	 2.380e+00	 7.401e-01
       Maxwell	 2.303e-02	 2.645e-02	 3.211e-02	 3.437e-03
    Maxwell_BC	 6.979e-03	 7.721e-03	 8.527e-03	 5.504e-04
   Diagnostics	 1.178e+00	 1.180e+00	 1.183e+00	 2.026e-03
Sync Particles	 1.298e-01	 1.604e-01	 1.816e-01	 2.012e-02
   Sync Fields	 8.448e-02	 1.178e-01	 1.668e-01	 3.014e-02
Sync Densities	 1.637e-01	 4.676e-01	 8.880e-01	 3.139e-01
      Envelope	 6.311e-01	 6.833e-01	 7.428e-01	 5.119e-02
Sync_Susceptibility	 1.727e-01	 5.203e-01	 9.926e-01	 3.549e-01
